,reviews_title,reviews_text,ratings,author,stay_date
0,"Hotel Edison,  NYC","I would like to mention Rommel Gopez. I have stayed at Hotel Edison before, but it was quite a few years ago. Rommel was so helpful in advising our group prior to and during our visit. In this age of Covid, it was such a relief to feel both safe and welcome.I will be sure to recommend Hotel Edison to all my friends.",5,Gerry E,Dec-21
1,Fantastic hotel in Times Square,"This was our 2nd stay at The Edison and we will be sure to have a 3rd. The signature room we stayed in was clean and comfortable and the staff are always polite and helpful. The hotel is literally just one minute walk to Times Square and the best bar in New York, The Rum House, is situated in the lobby. The Mai Tai’s there are fantastic! Can’t wait to go again.",5,Ian R,Mar-20
2,Another great stay at Hotel Edison!,"Our group of friends enjoyed our recent visit to NYC.  Staying at the Hotel Edison makes it so easy to go to the Broadway shows we were looking forward to.  You cannot beat the location!  The staff is incredible.  From the very helpful concierge to the room service personnel, and, of course, to our friend Rommel, the staff at the Edison is quite simply the best!  We are already looking forward to our next stay…",5,Jean T,Dec-21
3,Girls trip in NYC,"The staff at Hotel Edison were amazing, from the front desk to housekeeping.  We want to give a special shout out to Justina, Tex, Jennifer and Marcos for their kindness and hospitality.  Luidin, Manager, was exceptionally nice as well.  I cannot say enough about the staff at the hotel.  The rooms were nice and with queen beds which are hard to find in NYC.  I recommend this hotel if you want to stay near Times Square.",5,KimC,Dec-21
4,Scott's awesome team!,"Big shout out from 4 ladies from Virginia!  Grisselle, Erick ,and Danny do an excellent job. They were a pleasure to be around every day. Their customer service and warm personalities made the trip so much more enjoyable than any other place. A very safe environment in a great location.",5,Martha M,Dec-21
5,Great stay at a historical hotel!,"Stayed for 5 days, the location was great. The room was very clean and cleaned daily. They offer a coupon gives  two options either sit down breakfast at Friedman’s or to go breakfast sandwich at 45 The Bond, both were delicious.Justina at the front desk went out of her way to help us, making sure we had everything we needed. It was a great vacation!",5,Camille M,Dec-21
6,Perfect Hotel,"Look no further for an amazing hotel. Right beside Time Square, the hotel is on the doorstep to everything.  From shops, food and transport. The subway is just a small walk away which made it easy for commuting to JFK. The in hotel bars/restaurants were great. Food was lovely. Personal preference was that Bond 45 was nicer food but still food was great.The staff…couldn’t do anything more for you. They were all so helpful and friendly. The guest relations manager Rommel was so so so nice! He made us feel extremely welcomed and even organized a surprise gift for my wife given the trip was for her birthday.  They even offer a shuttle service to the airports which is handy…especially with heavy suitcases after shopping. The security team were fantastic too, always in watch and checked that only guests weee accessing the hotel which made us feel that bit extra secure. Will definitely be back and have so many great memories!! Thanks again everyone at the hotel.",5,Martin T,Nov-21
7,Only place I will stay,"I have been to NYC 26 times in 25 years; I have stayed at the Edison 22 times.  I love the character of this hotel, the location, the upgrades in recent years and I love the PEOPLE!    Dining venues onsite offer great options and dining times.  I have stayed in my own and with travel groups I bring yearly.",5,Shelli F,Dec-21
8,A GEM OF A HOTEL,My girlfriends and I enjoyed a wonderful visit to the Big Apple and our stay at the Hotel Edison was the best.  You can’t find a better spot located steps from almost every Broadway show and Times Square. Breakfast was great in both restaurants and we were greeted in the morning by Rommel the guest relations manager. Felt very welcome.  Our rooms were all well supplied and not only comfortable but lovely.  Staff at this hotel all made our trip such a pleasure    We’ll be back in the spring !! Thanks to all,5,Dawn,Dec-21
9,Best Concierge Service!!!,"It's the little things that make all the difference and I can't praise the Hotel Edison concierge members, Jorge and Gio, enough for taking the time to not only help me but make a fun memory for our trip. After a day walking around the city, I realized the pockets on my new wool coat were sewn shut. I asked the concierge if they had some scissors I could use and they not only provided, but Jorge used his knife to cut my seams while Gio held the flashlight! Their kindness is something I will always remember about Hotel Edison and my trip to NYC.",5,OkieTravelerKH,Nov-21
10,"Great location, great hotel!",We stayed for 5 nights over Thanksgiving week. The sit down breakfast is worth the small wait and the grab and go breakfast is perfect. The room was clean and housekeeping came every day. We felt safe in the hotel and the short walk to the Richard Rodgers theater was amazing. Definitely recommend and we would stay there again. All the staff we encountered where very helpful and friendly.,5,Katie M,Nov-21
11,A perfect trip,I was extremely pleased with this hotel and staff. The hotel is steps away from Time Square! Makes it super easy for shopping! They have great restaurants attached to the hotel plus breakfast was delicious! Latoya was my go to girl if I needed anything! I highly recommend this beautiful and historic landmark!,5,Virginia Mae D,Sep-21
12,Heart of Theatre land!,"Although the room is small, it was very comfortable. I loved the Streetwise walking tour near the Evelyn hotel that was complimentary. I plan to do one with each stay. The location is wonderful! I went to the theatre 4 times in 3 days! The breakfast at Bond 45 was delish! Always my “go to” hotel in NYC.",5,Harriett L,Nov-21
